CustomerID,Recency,Frequency,Monetary,AvgOrderValue,TotalItems,UniqueProducts,CustomerLifetime,PurchaseCount,AvgBasketSize,AvgQuantityPerOrder,MeanGapDays,PurchaseConsistency,ActiveMonths,PurchaseVelocity,AvgSpendPerMonth,RepeatPurchaseRatio,Churn,PredictedChurn
12347,92,4,162.4,18.044444444444444,74,8,183,9,18.5,8.222222222222221,22.75,31.913946794465897,4,0.6557377049180328,26.622950819672134,2.25,0,0
12348,228,1,41.76,41.76,144,1,0,1,144.0,144.0,0.0,0.0,1,1.0,41.76,1.0,1,1
12352,192,1,183.75,183.75,1,1,0,1,1.0,1.0,0.0,0.0,1,1.0,183.75,1.0,1,1
12353,113,1,59.699999999999996,29.849999999999998,6,2,0,2,6.0,3.0,0.0,0.0,1,1.0,59.699999999999996,2.0,1,1
12354,141,1,41.35,13.783333333333333,13,3,0,3,13.0,4.333333333333333,0.0,0.0,1,1.0,41.35,3.0,1,1
12355,123,1,165.3,55.1,114,3,0,3,114.0,38.0,0.0,0.0,1,1.0,165.3,3.0,1,1
12356,235,1,133.4,66.7,52,2,0,2,52.0,26.0,0.0,0.0,1,1.0,133.4,2.0,1,1
12359,99,2,176.9,17.69,50,10,115,10,25.0,5.0,12.777777777777779,38.33333333333333,2,0.5217391304347826,46.14782608695652,5.0,0,0
12360,22,1,95.3,47.65,8,2,0,2,8.0,4.0,0.0,0.0,1,1.0,95.3,2.0,0,1
12362,29,3,105.0,17.5,48,6,175,6,16.0,8.0,34.8,49.322408700305786,3,0.5142857142857143,18.0,2.0,0,0
12364,21,1,14.850000000000001,14.850000000000001,3,1,0,1,3.0,3.0,0.0,0.0,1,1.0,14.850000000000001,1.0,0,1
12365,200,1,20.04,10.02,24,2,0,2,24.0,12.0,0.0,0.0,1,1.0,20.04,2.0,1,1
12370,184,2,33.75,8.4375,25,4,85,4,12.5,6.25,28.333333333333332,49.07477288111819,2,0.7058823529411764,11.911764705882351,2.0,0,1
12372,122,2,53.279999999999994,17.759999999999998,48,3,83,3,24.0,16.0,41.5,58.68986283848344,2,0.7228915662650602,19.257831325301204,1.5,1,1
12375,7,1,8.5,8.5,10,1,0,1,10.0,10.0,0.0,0.0,1,1.0,8.5,1.0,1,1
12377,224,2,99.78,19.956,70,5,39,5,35.0,14.0,9.75,19.5,2,1.5384615384615383,76.75384615384615,2.5,1,0
12378,39,1,311.6,22.25714285714286,176,14,0,14,176.0,12.571428571428571,0.0,0.0,1,1.0,311.6,14.0,1,0
12379,79,1,54.900000000000006,27.450000000000003,14,2,0,2,14.0,7.0,0.0,0.0,1,1.0,54.900000000000006,2.0,0,1
12380,95,1,57.45,14.3625,31,4,0,4,31.0,7.75,0.0,0.0,1,1.0,57.45,4.0,0,1
12381,29,1,72.36,14.472,46,5,0,5,46.0,9.2,0.0,0.0,1,1.0,72.36,5.0,1,1
12383,147,3,74.52,12.42,76,6,113,6,25.333333333333332,12.666666666666666,22.6,40.29640182448056,3,0.7964601769911505,19.784070796460178,2.0,1,0
12384,31,1,32.55,16.275,5,2,0,2,5.0,2.5,0.0,0.0,1,1.0,32.55,2.0,0,1
12388,57,1,84.60000000000001,42.300000000000004,12,2,0,2,12.0,6.0,0.0,0.0,1,1.0,84.60000000000001,2.0,0,1
12393,155,2,48.0,24.0,22,2,86,2,11.0,11.0,86.0,0.0,2,0.6976744186046512,16.74418604651163,1.0,0,1
12394,126,1,19.799999999999997,19.799999999999997,12,1,0,1,12.0,12.0,0.0,0.0,1,1.0,19.799999999999997,1.0,1,1
12395,71,2,38.4,19.2,16,2,195,2,8.0,8.0,195.0,0.0,2,0.3076923076923077,5.907692307692307,1.0,0,1
12397,44,1,42.98,14.326666666666666,38,3,0,3,38.0,12.666666666666666,0.0,0.0,1,1.0,42.98,3.0,0,1
12399,28,2,102.38,20.476,102,5,94,5,51.0,20.4,23.5,47.0,2,0.6382978723404256,32.67446808510638,2.5,1,0
12402,232,1,37.2,18.6,16,2,0,2,16.0,8.0,0.0,0.0,1,1.0,37.2,2.0,1,1
12405,58,1,105.97,26.4925,91,4,0,4,91.0,22.75,0.0,0.0,1,1.0,105.97,4.0,1,0
12406,93,1,93.69999999999999,31.23333333333333,26,3,0,3,26.0,8.666666666666666,0.0,0.0,1,1.0,93.69999999999999,3.0,0,1
12407,66,1,61.17,20.39,27,3,0,3,27.0,9.0,0.0,0.0,1,1.0,61.17,3.0,0,1
12408,169,1,18.0,18.0,8,1,0,1,8.0,8.0,0.0,0.0,1,1.0,18.0,1.0,0,1
12410,218,1,15.0,15.0,12,1,0,1,12.0,12.0,0.0,0.0,1,1.0,15.0,1.0,1,1
12412,47,2,59.760000000000005,29.880000000000003,24,2,31,2,12.0,12.0,31.0,0.0,2,1.9354838709677418,57.832258064516125,1.0,0,0
12413,246,1,32.7,16.35,10,2,0,2,10.0,5.0,0.0,0.0,1,1.0,32.7,2.0,1,1
12414,126,1,39.6,39.6,8,1,0,1,8.0,8.0,0.0,0.0,1,1.0,39.6,1.0,1,1
